组,文档,含数字句(截断180字)
human,C_人工智能+教育国际比较,欧盟依托相关行动计划与伦理准则推进AI素养教育，与经合组织合作开发《中小学人工智能素养框架》，将素养拆解为22种融合技术、技能与态度的能力，配套学段应用场景，为PISA 2029评估奠定基础
human,H_终身教育趋势2016-2020,"原世界银行行长金墉指出，全球市场人才供需普遍存在着严峻的结构性失衡现象，""促进年轻人获得21世纪所需技能""以及""解决毕业生从学校向就业的过渡问题""迫在眉睫；而为年轻人提供合适技能是解决人才短缺的最佳途径，并将确保年轻人自己具有创业或与产业合作创造、创新、孵化和传播新理念、新技术的能力"
human,H_终身教育趋势2016-2020,2019年5月，新加坡人力发展管理局宣布所有通过剑桥N水准、O水准、A水准考试的学生，中学教育和中学后教育毕业生以及通过新加坡劳动力技能资格课程学习的学员都将获得添加至其个人学习账户（My Skills Future）的电子文凭证书，同时学校、培训机构、用人单位等亦可通过OpenCerts平台直接快速地查询与验证学习者电子文凭证书的真伪
human,H_终身教育趋势2016-2020,"从整体来看，法国""2018年新法""有三大特点：一是通过建立""法国能力建设署""政府将培训收费和资助统一由国家管理；二是通过个人账户手机应用让那些不易申请到培训机会的弱势职工获得培训信息、机会和资助；三是受资助的项目逐步转向以读取文凭和证书为主的培训"
human,H_终身教育趋势2016-2020,早在十年前，东京便以19.8%的老龄人口比率临近超老龄化社会，巴黎以14.3%的数值进入老龄社会，纽约（12.1%）、伦敦（11.1%）、北京（9.4%）、新加坡（9.0%）也全部进入老龄化社会
human,H_终身教育趋势2016-2020,在法国，60岁以上的人口数占总人口比例超过20%；在接下来的几十年中，法国65岁及以上人口的比例将稳定增长，到2030年将达到25%左右，到2050年将达到近30%；85岁以上的人口绝对比例将以更快的速度增长，预计将从2000年代中期的约100万人增加到2030年的约250万人
human,H_终身教育趋势2016-2020,在国际社会的共识与共同行动支持下，联合国教科文组织已经建立起全球学习型城市网络（Global Network of Learning Cities），到目前，64个国家的229个城市成为该网络的成员
human,H_校服治理国际比较,例如，韩国釜山机张郡从2024年开始推行教育支援事业，对本郡小学、初中、高中新生提供支援金
human,H_校服治理国际比较,高中新生每人最多可申请34万韩元校服补贴
human,H_校服治理国际比较,2022年，英国教育部规定，家长可以不去学校指定的校服专卖店购买，而且校服在设计上要减少校徽的数量
human,H_校服治理国际比较,韩国中小学校服起源于1904年梨花学堂
human,H_校服治理国际比较,"英国不同地区补贴不同，英格兰的家长可以从地方议会获得购买校服的资助；苏格兰政府自2018年起引入全国最低校服补助标准，金额为100英镑；威尔士政府则通过""学生发展补助""项目为符合条件的学生提供校服补贴，规定每名学生最高可获得125英镑，新入学七年级的学生还可额外申请200英镑补助，用于购买校服和其他入学用品"
human,H_校服治理国际比较,韩国校服领军企业SMART F&D公司2015年推出校服数字化管理平台，提升校服采购效率和个性化体验，同时生成二维码供家长查验，确保质量透明
human,H_超常儿童国家战略,例如，1957年苏联人造卫星上天震惊美国朝野，美国联邦政府迅速制定《国防教育法》，规定美国必须选拔和教育富有卓越才能的儿童，1988年美国国会专门通过《资赋优异与特殊才能学生教育法》
human,H_超常儿童国家战略,以色列1973年在教育部设立天才儿童司，专门负责全国天才儿童培养工作
human,H_超常儿童国家战略,"印度1963年实施""全国天才寻找计划""，目的是发掘天才学生并提供经济援助以保障其未来充分发展，2010年印度启动一项国家计划，开发识别科学和数学天才儿童（3—15岁）的工具，该项目由印度政府首席科学顾问办公室发起"
human,H_超常儿童国家战略,韩国2000年颁布专项法律《英才儿童教育振兴法》，组建中央超常儿童教育振兴委员会
human,H_超常儿童国家战略,研究发现，大约有3%的儿童智力水平高于同龄人
human,H_超常儿童国家战略,2002年，法国国民教育部中首次正式承认天才儿童的独特需求，将有天赋的学生归为有特殊需要的学生
human,H_学生饮用奶政策,《全球学生奶计划对儿童营养的贡献》报告显示，37%的国家采取学校直接在当地采购的模式
human,H_学生饮用奶政策,瑞典大部分学校午餐供应牛奶，每个学生平均饮奶180毫升
human,H_学生饮用奶政策,（二）明确饮用奶规格，保障学生营养充足各国对饮用奶的供给次数与数量进行了详细规定，单次供应量普遍设定为200毫升左右
human,H_学生饮用奶政策,印度为学生提供200毫升添加了维生素A和D的调味巴氏杀菌全脂牛奶（脂肪含量为3%）
human,H_学生饮用奶政策,墨西哥学生饮用奶计划的目标人群涵盖（3—12岁）学龄前儿童及小学生，还特别包括因经济贫困、家庭结构破裂、地理隔离或健康问题等原因导致无法通过家庭或社区获得充足营养的脆弱儿童
human,H_学生饮用奶政策,例如，英国学生奶包括全脂或半脱脂热处理奶、全脂或半脱脂热处理调味乳，按重量计乳含量至少为90%，添加糖或蜂蜜的最大比例须符合国家有关学校食品和饮料的营养标准
human,H_警惕美竞争法案,大学在一年内收到外国经费超过10万美元或在3年内超过25万美元，需作出说明
human,H_警惕美竞争法案,"警惕美""竞争法案""对我教育战略带来的重大风险3月28日，美国国会参议院通过了《2022年美国竞争法案》（以下简称《竞争法案》），在前期众议院审议通过的基础上取得重要进展，距正式出台仅一步之遥"
human,H_警惕美竞争法案,"目前，我国理工科学生赴美签证普遍被拒签，18所高校被列入""实体制裁清单"""
human,H_警惕美竞争法案,一是大幅提高研发费用，建立美国芯片基金，投入520亿美元建设国家半导体技术中心等
human,H_警惕美竞争法案,近年来，一些高科技企业在5G技术、人工智能等国际标准制定中掌握了一定话语权，但政府统筹仍需加强，部门联动不足，大学和科研机构参与意识不强，存在缺位现象，专门人才稀缺，可能在该领域陷于被动
human,H_警惕美竞争法案,（四）提高关键技术标准制定的国际话语权一是推动国家通用的关键技术标准建设，在6G、人工智能、智能芯片、能源科技、量子计算等领域率先制定国家标准，加大知识产权保护力度，促进创新成果产业化应用
human,H_课后服务双减,"瑞典2010年修订《学校法案》，明确规定课外活动是义务教育的一部分；义务教育课程大纲也对课外活动的目标、形式、标准等做出具体规定，把课外活动内容分为""语言交流""""艺术创造""""社会与自然""""游戏、体育及户外活动""等六个板块"
human,H_课后服务双减,放课后学校承担着提升学生综合素养、减轻家庭校外补习负担，缩小教育差距等多重目标，涵盖学科课程和素质特长教育两类服务内容，2019年，小学、初中和高中素质特长类课程占比分别为77%、54%和16%
human,H_课后服务双减,"法国有3万多个""学生课外活动中心""在课前、课后和节假日为3-17岁学生提供托管服务"
human,H_课后服务双减,"例如，日本在1998年修订《儿童福利法》明确把""课后儿童健全育成事业""作为社会福利事业之后，文部科学省和厚生劳动省开始加强儿童课后服务合作"
human,H_课后服务双减,"韩国政府1995年提出""放课后学校""计划，2004年教育部颁布《放课后学校运营基本计划》，目前全国所有中小学基本普及放课后学校"
human,H_课后服务双减,如瑞典83%的6-9岁学生在课前和课后参加设在校内的课外活动中心，超过20%的10-13岁学生参加校外开放式课外活动项目
ai,A_AI教育政策比较(盲测A),2023年，澳大利亚国家学校人工智能特别工作组与教育部联合发布《澳大利亚学校生成式人工智能框架》（AustralianFramework for Generative Artificial Intelligence (AI) inSchools），确立全澳学校生成式AI使用的六项指导原则，强调AI工具必须尊重和支持教师的专业判断，在确保安全、隐私和公平的前提
ai,A_AI教育政策比较(盲测A),"欧盟委员会在2022年发布的《教育工作者在教学与学习中使用人工智能和数据的伦理准则》（EthicalGuidelines on the Use of Artificial Intelligence and Data in Teachingand Learning forEducators）中，要求学校建立监控系统，防止师生对AI系统过度依赖，并界定必须确保"""
ai,A_AI教育政策比较(盲测A),"同年4月，白宫发布《推动美国青年人工智能教育行政令》（ExecutiveOrder on Advancing Artificial Intelligence Education for AmericanYouth），建立跨部门""白宫AI教育工作组""，要求通过公私合作，开发面向K-12、以基础人工智能素养为重点的在线资源；指示联邦机构优先安排资金，用于教育工作"
ai,A_AI教育政策比较(盲测A),UNESCO在2024年发布的《学生人工智能能力框架》（AICompetency Framework forStudents）中，引导学生认识到AI不能取代人类思考，并讨论直接提交AI生成论文对智力发展的危害
ai,A_AI教育政策比较(盲测A),"2019年，韩国科学技术信息通信部发布《国家人工智能战略》（NationalStrategy for ArtificialIntelligence），确立面向公众、从业者、AI专业人员及顶尖人才四类群体的能力培养体系，在中小学普及计算思维与AI课程，设立""AI中心学校""，并修改师范院校资格标准将AI课程纳入其中"
ai,A_AI教育政策比较(盲测A),"阿联酋教育部于2016年初设、2020年修订《计算、创意设计与创新课程》（Computing,Creative Design and Innovationcurriculum），在K-12阶段采用跨学科方法，将人工智能整合进涵盖计算机科学、工程原理系统、设计创新、可持续发展和视觉传达的核心课程体系"
ai,B_美国AI人才战略(盲测B),NSCAI报告专门援引《1958年国防教育法案》：当年美国正是借此大幅增加教育投入、重塑科研与人才培养体系，最终在相关领域形成长期优势
ai,B_美国AI人才战略(盲测B),"值得关注的是，该报告援引应对苏联""人造卫星""危机的《1958年国防教育法案》为先例，呼吁出台第二部《国防教育法案》以修补当前教育系统的缺陷"
ai,B_美国AI人才战略(盲测B),"美国AI人才战略布局及我国应对策略2021年，美国国家人工智能安全委员会（NSCAI）发布最终报告，把""人力资源短缺""列为将人工智能应用于国家安全的最大障碍，并明确指出美国本土出生的人工智能博士生数量自1990年以来未见增长，首次面临在科学前沿失去顶尖人才竞争优势的风险"
ai,B_美国AI人才战略(盲测B),建议教育部高等教育司联合一流高校，依托强基计划、基础学科拔尖学生培养计划2.0，把人工智能数理基础人才的早期发现与贯通培养做实；同时用好人工智能、集成电路等一级学科建设与卓越工程师教育培养计划，面向国产工具链适配需求，通过产教融合定向培养工程人才
ai,B_美国AI人才战略(盲测B),几乎同期通过的《2021年美国创新与竞争法案》，则把从本科奖学金到博士绿卡的一整套人才通道写入立法
ai,B_美国AI人才战略(盲测B),"NSCAI报告呼吁通过第二部《国防教育法案》修补K-12等教育系统缺陷，并由国家科学基金会（NSF）在五年内设立2.5万个STEM本科奖学金、5000个STEM博士奖学金和500个博士后职位；同时设立""AI服务奖学金计划""，以最长四年的全额学费招募和培训人工智能专业人员"
ai,D_终身教育研判(盲测D),"由国家开放大学牵头，将现有学分银行升级为""国家终身教育学分银行""，盘活其覆盖全国的四级办学网络和75家学习成果认证分中心"
ai,D_终身教育研判(盲测D),据韩国国家平生教育振兴院统计，该系统运行以来已累计为6.8万人授予学位
ai,D_终身教育研判(盲测D),欧盟2022年通过的微证书共同框架建议，将微证书定义为3至30个ECTS学分的小型学习单元，并建立跨国质量保证与认证框架
ai,D_终身教育研判(盲测D),"新加坡2025年向25岁以上公民发放500新元基础学习额度（SkillsFutureCredit），并向40岁以上公民额外充值4000新元（SkillsFuture Level-UpProgramme），同步提供培训津贴，实现\""资金跟着需求走\""的精准投放"
ai,D_终身教育研判(盲测D),新加坡推出WSQ2.0体系，允许学习者将单个技能模块堆叠为完整的资格认证
ai,D_终身教育研判(盲测D),日本针对65岁以上人口占比约30%（OECD2024年数据）的困境，持续增加社会人再教育预算，试图以技能更新补偿劳动力萎缩
ai,R_run0626-152506, 美国白宫2025年行政令确立从基础教育阶段全面普及AI学习的目标，动用联邦补助金为教育工作者提供专业发展培训，联合行业组织开发K-12在线AI素养资源；美国教育部2023年报告进一步呼吁重新概念化教师的数字时代专业性[The White House. 2_Advancing_AI_Education_American_Youth_2025.pdf; U.S
ai,R_run0626-152506,日本2024年《初等中等教育阶段生成式人工智能利活用指南》由文部科学省设立的“探讨会议”审议修订，正式委员由大学教授、中小学教职员及地方教育委员会长构成，内阁府科技创新事务局等仅以观察员身份列席，会议通过听取谷歌、微软等企业意见进行磋商，最终由专家主导完成审查与迭代[MEXT. 13_Japan_MEXT_Generative_AI_Guidelines_2
ai,R_run0626-152506,韩国2019年《国家人工智能战略》规划小学低年级AI体验教育、中学“AI中心学校”以及强制性师范课程改革，将AI相关课程纳入教师资格认证，从教师供给端根本重塑教育体系[Ministry of Science and ICT. 引述于UNESCO相关文件]
ai,R_run0626-152506,联合国教科文组织教师与学生能力框架均将“AI伦理”及“以人为本的思维”列为独立能力维度，强调伦理教育是AI能力发展的基础性支柱[UNESCO. 17_UNESCO_AI_Competency_Framework_Teachers_2024.pdf; UNESCO. 18_UNESCO_AI_Competency_Framework_Students_2024
ai,R_run0626-152506,英国2021年《国家人工智能战略》采取“全政府协同”路径，由人工智能办公室跨部门统筹，国家计算教育中心负责中小学AI课程普及，英国研究与创新署负责评估计算基础设施需求，阿兰·图灵研究所负责更新AI伦理与安全指南，形成多个法定机构在同一战略框架下各司其职的格局[HM Government. 7_UK_National_AI_Strategy_2021.pdf]
ai,R_run0626-152506,英国同样体现这一特征，2021年《国家人工智能战略》将投资AI技能与人才列为维持全球AI超级大国地位的三大支柱之首，着重支持国家计算教育中心普及中小学AI项目，并推出AI与数据科学硕士转换课程[HM Government. 7_UK_National_AI_Strategy_2021.pdf]；2025年《人工智能机遇行动计划》提出“扫描—试点—扩展”的应用
ai,R_run0706-095808,欧盟委员会启动RAISE试点项目，由Horizon Europe科研框架提供最高6亿欧元资助，联合欧洲区域发展基金等凝聚政策资金与私营企业技术承诺，形成混合资金池；学术机构负责基础研究与标准研制，私营企业承担工具开发与场景适配，通过“公共资金引导、多方联合执行”模式推动AI在课堂教学与管理中的规模化验证
ai,R_run0706-095808,美国在2025年《为美国青年推进AI教育》国家行动计划中确立从早期教育到中学后阶段全面学习AI的目标，推动联邦机构与行业组织、学术机构建立公私合作伙伴关系，合作开发面向K-12学生的基础AI素养在线教育资源，其路径本质上是依托现有课程标准和数字化资源平台进行渐进渗透
ai,R_run0706-095808,同时，日本特别强化信息道德教育，引导学生养成不盲信信息、主动进行事实核查的习惯，其2024年发布的《生成式AI利用指南》专门划定了学生使用AI时的安全与隐私红线
ai,R_run0706-095808,欧盟2025年发布的《欧盟应用人工智能战略》是此模式的典型体现
ai,R_run0706-095808,韩国在《国家人工智能战略》中明确要求K-12教育阶段强制普及AI课程：小学低年级提供AI体验教育以激发兴趣，中学设立“AI中心学校”教授高级课程
ai,R_run0706-095808,阿联酋教育部将人工智能基本原理、概念和伦理影响融入名为“计算、创意设计与创新”的核心课程体系，该课程涵盖计算机科学、工程原理、设计创新、可持续发展和视觉传达等领域，面向K-12全体学生实施
ai,R_run0706-193854,注入定向教育数据后，AI工具准确率从67%提升至92%
ai,R_run0706-193854,2023年10月，全国教育部长会议批准由“国家学校AI工作组”制定的《生成式人工智能中小学应用框架》，提出六项指导原则并设定年度复审机制
ai,R_run0706-193854,2. 立法约束-软性协调型：以欧盟为代表欧盟模式的核心特征是以超国家立法划定高风险红线，辅以委员会战略和非约束性框架形成软引导，通过“立法硬约束+框架软引导”的双层结构施加影响力
ai,R_run0706-193854,在资金路径上，2025年7月教育部长签署“亲爱的同仁信”，明确联邦拨款（含Title I-A、Title IV-A等项目）可用于AI教学材料、高强度辅导及生涯路径咨询
ai,R_run0706-193854, 2023年3月，教育部率先发布政策立场文件《教育领域的生成式人工智能》，明确“教师端应用优先于学生端”的实用主义导向，后续持续更新
ai,R_run0706-193854,2025年4月发布《AI大陆行动计划》，将“AI技能与人才”列为第四支柱，并联合经合组织于同年5月发布《AI素养框架》草案，规定中小学阶段四大领域及十九项能力
