组,文档,句长汉字数
human,H_学生饮用奶政策,42
human,H_学生饮用奶政策,108
human,H_学生饮用奶政策,67
human,H_学生饮用奶政策,40
human,H_学生饮用奶政策,11
human,H_学生饮用奶政策,119
human,H_学生饮用奶政策,36
human,H_学生饮用奶政策,63
human,H_学生饮用奶政策,40
human,H_学生饮用奶政策,44
human,H_学生饮用奶政策,36
human,H_学生饮用奶政策,6
human,H_学生饮用奶政策,53
human,H_学生饮用奶政策,41
human,H_学生饮用奶政策,8
human,H_学生饮用奶政策,21
human,H_学生饮用奶政策,65
human,H_学生饮用奶政策,49
human,H_学生饮用奶政策,48
human,H_学生饮用奶政策,39
human,H_学生饮用奶政策,28
human,H_学生饮用奶政策,24
human,H_学生饮用奶政策,18
human,H_学生饮用奶政策,37
human,H_学生饮用奶政策,56
human,H_学生饮用奶政策,28
human,H_学生饮用奶政策,35
human,H_学生饮用奶政策,42
human,H_学生饮用奶政策,4
human,H_学生饮用奶政策,42
human,H_学生饮用奶政策,37
human,H_学生饮用奶政策,46
human,H_学生饮用奶政策,25
human,H_学生饮用奶政策,34
human,H_学生饮用奶政策,38
human,H_学生饮用奶政策,47
human,H_学生饮用奶政策,83
human,H_警惕美竞争法案,77
human,H_警惕美竞争法案,30
human,H_警惕美竞争法案,44
human,H_警惕美竞争法案,56
human,H_警惕美竞争法案,35
human,H_警惕美竞争法案,47
human,H_警惕美竞争法案,40
human,H_警惕美竞争法案,34
human,H_警惕美竞争法案,37
human,H_警惕美竞争法案,37
human,H_警惕美竞争法案,44
human,H_警惕美竞争法案,39
human,H_警惕美竞争法案,36
human,H_警惕美竞争法案,62
human,H_警惕美竞争法案,42
human,H_警惕美竞争法案,31
human,H_警惕美竞争法案,27
human,H_警惕美竞争法案,48
human,H_警惕美竞争法案,69
human,H_警惕美竞争法案,34
human,H_警惕美竞争法案,36
human,H_警惕美竞争法案,31
human,H_警惕美竞争法案,35
human,H_警惕美竞争法案,32
human,H_警惕美竞争法案,77
human,H_警惕美竞争法案,56
human,H_警惕美竞争法案,46
human,H_警惕美竞争法案,100
human,H_警惕美竞争法案,42
human,H_警惕美竞争法案,83
human,H_警惕美竞争法案,71
human,H_警惕美竞争法案,52
human,H_警惕美竞争法案,36
human,H_警惕美竞争法案,30
human,H_警惕美竞争法案,59
human,H_警惕美竞争法案,84
human,H_警惕美竞争法案,81
human,H_警惕美竞争法案,61
human,H_警惕美竞争法案,50
human,H_警惕美竞争法案,85
human,H_警惕美竞争法案,53
human,H_警惕美竞争法案,56
human,H_警惕美竞争法案,77
human,H_警惕美竞争法案,74
human,H_警惕美竞争法案,49
human,H_警惕美竞争法案,83
human,H_警惕美竞争法案,70
human,H_警惕美竞争法案,47
human,H_警惕美竞争法案,74
human,H_警惕美竞争法案,41
human,H_警惕美竞争法案,61
human,H_课后服务双减,72
human,H_课后服务双减,50
human,H_课后服务双减,87
human,H_课后服务双减,49
human,H_课后服务双减,28
human,H_课后服务双减,36
human,H_课后服务双减,33
human,H_课后服务双减,30
human,H_课后服务双减,90
human,H_课后服务双减,32
human,H_课后服务双减,20
human,H_课后服务双减,81
human,H_课后服务双减,65
human,H_课后服务双减,74
human,H_课后服务双减,21
human,H_课后服务双减,30
human,H_课后服务双减,82
human,H_课后服务双减,68
human,H_课后服务双减,74
human,H_课后服务双减,93
human,H_课后服务双减,49
human,H_课后服务双减,77
human,H_课后服务双减,72
human,H_课后服务双减,37
human,H_课后服务双减,13
human,H_课后服务双减,90
human,H_课后服务双减,45
human,H_课后服务双减,32
human,H_课后服务双减,22
human,H_课后服务双减,44
human,H_课后服务双减,28
human,H_课后服务双减,63
human,H_课后服务双减,103
human,H_课后服务双减,24
human,H_课后服务双减,64
human,H_课后服务双减,45
human,H_课后服务双减,22
human,H_课后服务双减,27
human,H_课后服务双减,6
human,H_课后服务双减,54
human,H_课后服务双减,59
human,H_课后服务双减,49
human,H_课后服务双减,12
human,H_课后服务双减,93
human,H_课后服务双减,87
human,H_课后服务双减,8
human,H_课后服务双减,55
human,H_课后服务双减,31
human,H_课后服务双减,49
human,H_课后服务双减,62
human,H_课后服务双减,26
human,H_课后服务双减,30
human,H_课后服务双减,42
human,H_课后服务双减,36
human,H_课后服务双减,20
human,H_课后服务双减,10
human,H_课后服务双减,24
human,H_课后服务双减,37
human,H_课后服务双减,54
human,H_课后服务双减,8
human,H_课后服务双减,33
human,H_课后服务双减,71
human,H_课后服务双减,8
human,H_课后服务双减,93
human,H_课后服务双减,15
human,H_课后服务双减,41
human,H_课后服务双减,86
human,H_课后服务双减,35
ai,A_AI教育政策比较(盲测A),75
ai,A_AI教育政策比较(盲测A),38
ai,A_AI教育政策比较(盲测A),53
ai,A_AI教育政策比较(盲测A),7
ai,A_AI教育政策比较(盲测A),86
ai,A_AI教育政策比较(盲测A),90
ai,A_AI教育政策比较(盲测A),114
ai,A_AI教育政策比较(盲测A),58
ai,A_AI教育政策比较(盲测A),8
ai,A_AI教育政策比较(盲测A),96
ai,A_AI教育政策比较(盲测A),89
ai,A_AI教育政策比较(盲测A),45
ai,A_AI教育政策比较(盲测A),63
ai,A_AI教育政策比较(盲测A),7
ai,A_AI教育政策比较(盲测A),85
ai,A_AI教育政策比较(盲测A),176
ai,A_AI教育政策比较(盲测A),41
ai,A_AI教育政策比较(盲测A),6
ai,A_AI教育政策比较(盲测A),82
ai,A_AI教育政策比较(盲测A),73
ai,A_AI教育政策比较(盲测A),40
ai,A_AI教育政策比较(盲测A),6
ai,A_AI教育政策比较(盲测A),88
ai,A_AI教育政策比较(盲测A),29
ai,A_AI教育政策比较(盲测A),47
ai,A_AI教育政策比较(盲测A),71
ai,A_AI教育政策比较(盲测A),7
ai,A_AI教育政策比较(盲测A),122
ai,A_AI教育政策比较(盲测A),37
ai,A_AI教育政策比较(盲测A),7
ai,A_AI教育政策比较(盲测A),76
ai,A_AI教育政策比较(盲测A),69
ai,A_AI教育政策比较(盲测A),42
ai,A_AI教育政策比较(盲测A),74
ai,A_AI教育政策比较(盲测A),36
ai,A_AI教育政策比较(盲测A),70
ai,A_AI教育政策比较(盲测A),11
ai,A_AI教育政策比较(盲测A),18
ai,A_AI教育政策比较(盲测A),53
ai,A_AI教育政策比较(盲测A),78
ai,A_AI教育政策比较(盲测A),71
ai,A_AI教育政策比较(盲测A),78
ai,A_AI教育政策比较(盲测A),32
ai,A_AI教育政策比较(盲测A),21
ai,A_AI教育政策比较(盲测A),59
ai,A_AI教育政策比较(盲测A),68
ai,A_AI教育政策比较(盲测A),58
ai,A_AI教育政策比较(盲测A),70
ai,A_AI教育政策比较(盲测A),37
ai,A_AI教育政策比较(盲测A),20
ai,A_AI教育政策比较(盲测A),61
ai,A_AI教育政策比较(盲测A),44
ai,A_AI教育政策比较(盲测A),50
ai,A_AI教育政策比较(盲测A),62
ai,A_AI教育政策比较(盲测A),25
ai,A_AI教育政策比较(盲测A),20
ai,A_AI教育政策比较(盲测A),55
ai,A_AI教育政策比较(盲测A),42
ai,A_AI教育政策比较(盲测A),100
ai,A_AI教育政策比较(盲测A),76
ai,A_AI教育政策比较(盲测A),38
ai,A_AI教育政策比较(盲测A),41
ai,A_AI教育政策比较(盲测A),39
ai,A_AI教育政策比较(盲测A),49
ai,A_AI教育政策比较(盲测A),84
ai,A_AI教育政策比较(盲测A),84
ai,A_AI教育政策比较(盲测A),74
ai,A_AI教育政策比较(盲测A),82
ai,A_AI教育政策比较(盲测A),101
ai,A_AI教育政策比较(盲测A),92
ai,A_AI教育政策比较(盲测A),37
ai,A_AI教育政策比较(盲测A),30
ai,A_AI教育政策比较(盲测A),138
ai,A_AI教育政策比较(盲测A),71
ai,A_AI教育政策比较(盲测A),70
ai,A_AI教育政策比较(盲测A),71
ai,A_AI教育政策比较(盲测A),55
ai,A_AI教育政策比较(盲测A),81
ai,A_AI教育政策比较(盲测A),43
ai,A_AI教育政策比较(盲测A),39
ai,A_AI教育政策比较(盲测A),92
ai,A_AI教育政策比较(盲测A),39
ai,A_AI教育政策比较(盲测A),77
ai,A_AI教育政策比较(盲测A),79
ai,A_AI教育政策比较(盲测A),163
ai,A_AI教育政策比较(盲测A),68
ai,A_AI教育政策比较(盲测A),77
ai,A_AI教育政策比较(盲测A),75
ai,A_AI教育政策比较(盲测A),77
ai,A_AI教育政策比较(盲测A),26
ai,A_AI教育政策比较(盲测A),69
ai,A_AI教育政策比较(盲测A),81
ai,A_AI教育政策比较(盲测A),71
ai,A_AI教育政策比较(盲测A),24
ai,A_AI教育政策比较(盲测A),69
ai,A_AI教育政策比较(盲测A),83
ai,A_AI教育政策比较(盲测A),57
ai,A_AI教育政策比较(盲测A),50
ai,A_AI教育政策比较(盲测A),25
ai,A_AI教育政策比较(盲测A),74
