selected,exact,matchTags,year,issue,section,title,authors,abstract,meta,fn,size,digestUrl,downloadUrl,sourceUrl
"true","false","international;policy;comparative","2026","02","教育国际化研究","欧盟对中亚国家教育外交:基于政策演进的实践行动","王正青;熊彦皓;","教育外交作为公共外交的形式之一,具有增进民心相通和影响青年价值观等价值。作为一体化程度最高的区域性国际组织,欧盟基于地缘政治考量,持续调整对中亚国家的教育外交政策,经历初步接触、主动参与、拓展推进和调整转型四个阶段。欧盟在实践中形成教育机构互联、业内人员互访、教学资源互享和援助项目互赢四条行动路径,推动与中亚国家的全方位合作,逐渐建立引领发展走向的统筹协商机制、确保日常运作的组织完善机制、推动政策落地的项目载体机制、夯实实施基础的资金保障机制,以及检验实践效果的质量评估机制。欧盟对中亚教育外交强化了欧盟在教育合作与价值观传播层面的影响力,为中亚青年一代提供了更多教育选择。","2026年02期 v.48;No.433 40-50页 [查看摘要][在线阅读][下载 927K] [下载次数：326 ] |[引用频次：0 ] |[阅读次数：1 ]","BJJY202602005","927K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=8d44f3be-e69b-49c9-a1d2-2804ed2cd98b","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202602005","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=02"
"true","false","international;policy;comparative","2026","02","教育国际化研究","“主动代理人”而非“被动受害者”——“外化”视角下全球南方跨境教育政策借鉴研究","杨瑷伊;","全球南方在跨境教育政策借鉴中常被刻画为“被动受害者”,这种叙事已受到质疑并值得反思。从社会系统理论中的“外化”视角来看,系统出于自身需要向外部环境开放,但其运作仍遵循系统的内部逻辑,即教育政策借鉴实际上仍是政策借入方系统内部的运作。从“外化”视角分析全球南方借鉴欧洲博洛尼亚进程的现实案例可发现,一方面,非洲、拉丁美洲和东南亚等全球南方地区对博洛尼亚进程进行策略性借取,将外部政策工具转化为服务本土改革的资源;另一方面,全球南方对博洛尼亚进程进行本土化重构,即对外部政策进行本土化选择和调试。因此,全球南方在跨境教育政策借鉴中具有能动性和主体性,并非“被动受害者”,而是“主动代理人”。","2026年02期 v.48;No.433 51-60页 [查看摘要][在线阅读][下载 820K] [下载次数：263 ] |[引用频次：0 ] |[阅读次数：0 ]","BJJY202602006","820K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=efd07f44-40de-41b1-a4a0-afd968329f94","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202602006","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=02"
"true","false","international;policy;comparative","2026","02","职业教育与成人教育研究","论德国国家资历框架的实践机制与社会效应","唐智彬;郑超英;贺艳芳;","德国国家资历框架的开发与建构体现了各类教育由割裂到沟通的历史源流、适应欧洲教育政策一体化趋势以及不同主体间博弈等多维动因。在衔接欧洲资历框架的基础上,德国国家资历框架由资历标准系统、学分转换机制和质量保障系统三个子系统构成并有效运转,旨在强化不同类型教育领域的渗透性、学历资格与职业资格等效性,提高学习成果与资格映射透明度,促进欧洲劳动力市场内部互认互通。在推进过程中,德国国家资历框架促成多元制度同构压力下的教育体系渗透与融通,推动社会规范下的教育个性化与劳动力市场协同,并通过创新学习成果等级符号系统,逐步重塑职业生涯发展的社会认知,奠定终身教育体系的制度基础,形成全方位社会效应。","2026年02期 v.48;No.433 61-71页 [查看摘要][在线阅读][下载 1107K] [下载次数：309 ] |[引用频次：0 ] |[阅读次数：3 ]","BJJY202602007","1107K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=84d5b534-7952-4ec7-b53b-bf1a7f3dc195","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202602007","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=02"
"true","false","international;policy;comparative","2026","02","职业教育与成人教育研究","社会系统理论视角下德国职业教育与学术教育关系演进研究","郭荣梅;","基于社会系统理论视角考察,德国职业教育与学术教育的关系演进大体经历三个阶段:中世纪至18世纪末,两者分别附属于经济系统与宗教/政治系统的无关联阶段;19世纪至20世纪60年代,同属教育功能系统但功能分立的并行阶段;20世纪60以来,结构耦合与功能融合的融通阶段。职业教育与学术教育长期分立的根源在于“实践导向”与“学术导向”的功能定位差异,外部环境的相对稳定强化这一格局。经济系统与家庭系统对教育需求的转变,是打破两者分立格局的核心动力。教育系统与政治系统、法律系统及科学系统的耦合互动,以及欧盟教育改革形成的制度参照,是职业教育与学术教育走向融通的重要推力。","2026年02期 v.48;No.433 72-81页 [查看摘要][在线阅读][下载 856K] [下载次数：419 ] |[引用频次：0 ] |[阅读次数：0 ]","BJJY202602008","856K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=ccc5dcf5-266a-4d0f-a871-a5b774d015ae","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202602008","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=02"
"true","false","international;policy;comparative","2026","02","职业教育与成人教育研究","欧盟职业教育共同体的发展历程与推进举措——基于“伊拉斯谟+计划”的分析","田杰;向佳;","优化职业教育生态是深化产教融合、驱动经济增长的重要举措。为加强资源整合、响应劳动力市场多元化需求,推动区域一体化背景下职业教育的高质量发展,欧盟于2014年正式将职业教育与培训纳入“伊拉斯谟+计划”,以期促进职业教育共同体建设和提升人才培养质量。在该计划助推下,欧盟职业教育共同体历经探索期、调适期和转型期三大阶段,形成“能力建设—区域协同—价值内化”的三维发展模式,在增强能力建设以夯实职业教育共同体根基、强化区域协同以构建职业教育共同体网络、推动价值内化以扩大职业教育共同体影响方面取得显著成效。在行动逻辑上,欧盟职业教育共同体通过做好顶层设计明确发展方向,创设制度环境保障实施效果,借助利益协同激活参与动力,生成制度韧性与多元共治并重的发展路径。","2026年02期 v.48;No.433 82-93页 [查看摘要][在线阅读][下载 1137K] [下载次数：294 ] |[引用频次：0 ] |[阅读次数：0 ]","BJJY202602009","1137K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=2641e107-1370-4ba8-9da7-d46e34f8c042","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202602009","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=02"
"true","false","international;policy;comparative","2026","02","教育思想与理论研究","美国博物馆教育演进:从知识保存到教育耦合","曹雅洁;","19世纪美国博物馆的职能经历从知识保存向公共教育与知识生产的显著转型。早期博物馆以珍奇室为原型,通过系统收藏为公众提供实物载体以保存知识。18世纪末至19世纪初,以皮尔博物馆为代表的机构确立博物馆的公共属性,实现自然知识向公众的系统呈现。19世纪中叶,在培根经验主义影响下,博物馆通过科学分类与直观教学法,对传统书本教育进行修正,实现知识的深度阐释。随后,史密森尼学会等机构通过标本研究参与知识生产,与大学在知识权力领域产生张力。20世纪初,受进化论传播及研究型大学兴起的影响,以物品为中心的认识论显现出局限性,博物馆地位随之式微。考察此历程以揭示博物馆教育的独特方法论价值,可为当代馆校协同育人机制提供历史参照。","2026年02期 v.48;No.433 94-102+112页 [查看摘要][在线阅读][下载 849K] [下载次数：337 ] |[引用频次：0 ] |[阅读次数：0 ]","BJJY202602010","849K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=e8f5c1ea-e820-47fb-991e-63e4428ee468","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202602010","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=02"
"true","false","international;policy;comparative","2026","02","教育思想与理论研究","芬兰全球教育意识形态的历史演进、问题表征与变革新路","王明;杨启光;","全球教育是一项围绕全球化而展开的价值取向议题,以民族国家为主要载体的全球教育表现出复杂且多变的意识形态倾向。芬兰全球教育的意识形态呈现出基于历史谱系的阶段性发展,主要表现在文化认同中欧洲色彩和芬兰底色的杂糅与分离、全球公民教育中全球公民与芬兰公民的身份模糊、全球教育政策中全球正义与品牌营销的价值冲突。目前,面对全球教育与意识形态之间的冲突,芬兰致力于重新构建民族文化叙事,在制度转型中回归全球正义,冲破教育品牌神话中的殖民主义。全球教育与意识形态涉及全球化时代的国家价值取向、公民培养方向与全球关系发展,是当代所有民族国家面临的共同问题,芬兰的有效经验有助于深入理解全球教育和意识形态的互动关系,并为全球化时代民族国家的全球教育发展提供有益借鉴。","2026年02期 v.48;No.433 103-112页 [查看摘要][在线阅读][下载 842K] [下载次数：486 ] |[引用频次：0 ] |[阅读次数：1 ]","BJJY202602011","842K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=4a0685a6-9488-4284-8ce6-9e8ddd6028df","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202602011","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=02"
"true","false","international;policy;comparative","2026","03","智能革命与教育变革研究","包容性审慎:日本生成式人工智能教育应用的治理逻辑探析","谭建川;","如何在兼顾技术创新与风险管控的前提下推动生成式人工智能的教育应用,已经成为各国面临的重要挑战。近年来日本在服务国家战略的强烈意图之下,形成以“包容性审慎”为核心逻辑的治理策略,通过在伦理规制前提下为创新留出制度性空间,颁布各类使用指南,建构风险可控的试点框架,逐步推进生成式人工智能教育应用从试点走向常态。这一历程彰显出战略与战术、伦理与规则、分层权责与系统赋能之间的多重动态平衡。然而,其实践也警示,如果忽视资源分配的长期公平与系统协同保障,那么“包容性审慎”的治理效能可能因财政压力与组织惯性等而受到冲击,这凸显出技术治理对制度韧性及生态协同能力的高度依赖。","2026年03期 v.48;No.434 3-11+52页 [查看摘要][在线阅读][下载 846K] [下载次数：546 ] |[引用频次：0 ] |[阅读次数：2 ]","BJJY202603001","846K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=11c4f1f9-afd8-40a9-aeda-49a440a26cb1","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202603001","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=03"
"true","false","international;policy;comparative","2026","03","智能革命与教育变革研究","“超智能社会”愿景下日本教育“生命本位”转向","谈苏欣;孔令帅;","在“超智能社会”国家愿景引导下,日本正推动教育价值从“效率逻辑”向“生命本位”与“生态伦理”转型。工业社会教育范式侧重标准化课程、统一测评与就业导向,虽然曾支撑经济发展,但在数字化、多样化时代下日益显现其压抑个体差异、忽视生命价值等局限。为回应挑战,日本提出“技术融合—人机共生—多样幸福”的理念,重塑教育目标。教育系统面临教师支持不足、课程僵化、评价滞后等内部问题,以及数字鸿沟、性别惯性与制度转型迟缓等外部制约。在“学校3.0”“全球学校联网构想计划”等政策统筹下,日本教育界正探索融合技术与伦理、支持多样幸福与公共参与的“共学型社会”,通过地方试点、课程改革与协同治理,逐步构建出具有制度实验性与文化适应性的教育新生态。","2026年03期 v.48;No.434 12-22页 [查看摘要][在线阅读][下载 949K] [下载次数：318 ] |[引用频次：0 ] |[阅读次数：0 ]","BJJY202603002","949K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=73c31d5e-4c8b-494c-bee6-046ab4abdbcd","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202603002","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=03"
"true","false","international;policy;comparative","2026","03","智能革命与教育变革研究","保护学习者的数字权利——联合国教科文组织报告的蓝图、局限与超越","刘晓巍;","联合国教科文组织的报告指出,数字鸿沟、数据隐私侵害、算法偏见及网络暴力等问题正深刻威胁学习者的受教育权、隐私权与自主性。对此,该报告提出以“5C”框架为核心的治理蓝图,强调通过协调领导、内容建设、能力培养、基础设施和可持续成本机制,引导技术服务于人权与教育公平。然而,该蓝图内在地隐含“仁慈国家”“可控技术”等理想化假设,也低估全球资本与技术权力的结构性影响,进而导致其治理路径存在“去政治化”与制度渐进主义的局限。因此,真正保障学习者的数字权利需要超越技术治理逻辑,转向政治经济层面的赋权变革,如推动教育技术公有化、倡导参与式设计、培育批判性数字公民等,以实现更具正义性的数字教育未来。","2026年03期 v.48;No.434 23-30页 [查看摘要][在线阅读][下载 688K] [下载次数：202 ] |[引用频次：0 ] |[阅读次数：1 ]","BJJY202603003","688K","https://bjjy.cbpt.cnki.net/WKD/WebPublication/paperDigest.aspx?paperID=bf7a90f2-0490-451a-b807-39fbfb2423fc","https://bjjy.cbpt.cnki.net/WKD/WebPublication/kbDownload.aspx?fn=BJJY202603003","https://bjjy.cbpt.cnki.net/WKD/WebPublication/wkTextContent.aspx?contentID=&colType=4&yt=2026&st=03"
